path,umb_constructor_count,route_guess,notes
crates/scoopc/src/llvm/codegen/call/abi.rs,19,Helper,"shared callable ABI helper; route to be refined by U1"
crates/scoopc/src/llvm/codegen/call/lowering.rs,41,Helper,"shared call lowering helper; includes builder invariants and callable ABI drift"
crates/scoopc/src/llvm/codegen/class_ctor.rs,31,RawMirLlvm,"class constructor lowering; mostly upstream ctor contract checks"
crates/scoopc/src/llvm/codegen/closure/mod.rs,24,Helper,"closure helper shared by raw and effect-lowered call surfaces"
crates/scoopc/src/llvm/codegen/control_flow.rs,78,RawMirLlvm,"HIR/raw control-flow and when lowering"
crates/scoopc/src/llvm/codegen/effect_lowered/body/call_invoke.rs,4,EffectLoweredLlvm,"published dynamic call invoke body"
crates/scoopc/src/llvm/codegen/effect_lowered/body/composed_call.rs,2,EffectLoweredLlvm,"effect-lowered composed call body"
crates/scoopc/src/llvm/codegen/effect_lowered/body/main_carrier.rs,5,EffectLoweredLlvm,"effect-lowered main carrier body"
crates/scoopc/src/llvm/codegen/effect_lowered/body/main_entry.rs,9,EffectLoweredLlvm,"effect-lowered main entry body"
crates/scoopc/src/llvm/codegen/effect_lowered/body/payload.rs,2,EffectLoweredLlvm,"effect-lowered payload helper"
crates/scoopc/src/llvm/codegen/effect_lowered/body/runtime_error.rs,3,EffectLoweredLlvm,"effect-lowered RuntimeError body"
crates/scoopc/src/llvm/codegen/effect_lowered/body/states.rs,5,EffectLoweredLlvm,"effect-lowered state body"
crates/scoopc/src/llvm/codegen/effect_lowered/body/wrapper.rs,1,EffectLoweredLlvm,"effect-lowered wrapper body"
crates/scoopc/src/llvm/codegen/effect_lowered/value.rs,139,EffectLoweredLlvm,"effect-lowered value and statement lowering"
crates/scoopc/src/llvm/codegen/effect_outcome.rs,18,Helper,"effect outcome transport helper shared by effect lowering"
crates/scoopc/src/llvm/codegen/enum_lowering.rs,29,Helper,"enum layout/payload helper used by multiple routes"
crates/scoopc/src/llvm/codegen/expr.rs,11,RawMirLlvm,"HIR expression lowering surface"
crates/scoopc/src/llvm/codegen/gc.rs,70,Helper,"GC intrinsic/runtime helper; includes builder invariants and GC support gates"
crates/scoopc/src/llvm/codegen/intrinsics/atomic.rs,51,Helper,"atomic intrinsic helper"
crates/scoopc/src/llvm/codegen/intrinsics/builtin.rs,58,Helper,"builtin intrinsic helper"
crates/scoopc/src/llvm/codegen/intrinsics/named.rs,55,Helper,"named/sysroot intrinsic helper"
crates/scoopc/src/llvm/codegen/intrinsics/sync.rs,53,Helper,"sync intrinsic helper"
crates/scoopc/src/llvm/codegen/intrinsics/sysroot.rs,16,Helper,"sysroot intrinsic dispatch helper"
crates/scoopc/src/llvm/codegen/intrinsics/thread.rs,18,Helper,"thread intrinsic helper"
crates/scoopc/src/llvm/codegen/layout.rs,19,Helper,"layout helper and type-layout invariant checks"
crates/scoopc/src/llvm/codegen/main/alloca.rs,7,RawMirLlvm,"main raw route alloca helper"
crates/scoopc/src/llvm/codegen/main/boxing.rs,6,RawMirLlvm,"main raw route boxing helper"
crates/scoopc/src/llvm/codegen/main/call.rs,12,RawMirLlvm,"main raw route call helper"
crates/scoopc/src/llvm/codegen/main/coerce.rs,31,RawMirLlvm,"main raw route coercion helper"
crates/scoopc/src/llvm/codegen/main/context.rs,4,RawMirLlvm,"main raw route context helper"
crates/scoopc/src/llvm/codegen/main/declare.rs,8,RawMirLlvm,"main raw route declaration helper"
crates/scoopc/src/llvm/codegen/main/expr_op.rs,29,RawMirLlvm,"main raw route expression operators"
crates/scoopc/src/llvm/codegen/main/expr_value.rs,19,RawMirLlvm,"main raw route expression values"
crates/scoopc/src/llvm/codegen/main/frame.rs,12,RawMirLlvm,"main raw route frame/root helper"
crates/scoopc/src/llvm/codegen/main/function.rs,3,RawMirLlvm,"main raw route function entry helper"
crates/scoopc/src/llvm/codegen/main/gc_locals.rs,11,RawMirLlvm,"main raw route GC locals helper"
crates/scoopc/src/llvm/codegen/main/globals.rs,11,RawMirLlvm,"main raw route globals helper"
crates/scoopc/src/llvm/codegen/main/identity.rs,6,RawMirLlvm,"main raw route identity/helper lowering"
